id,ticker,financialGroup,displayName,createdAt,updatedAt
357,LINK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:22.019,2025-10-19 22:32:41.702
358,LKMNH,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:24.196,2025-10-19 22:32:43.049
359,LMKDC,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:25.696,2025-10-19 22:32:44.334
360,LOGO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:27.343,2025-10-19 22:32:45.444
361,LRSHO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:28.898,2025-10-19 22:32:46.829
362,LUKSK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:31.616,2025-10-19 22:32:47.789
363,LYDHO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:33.314,2025-10-19 22:32:49.102
364,LYDYE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:34.903,2025-10-19 22:32:50.827
365,MAALT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:36.427,2025-10-19 22:32:52.257
366,MACKO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:38.066,2025-10-19 22:32:53.613
367,MAGEN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:39.689,2025-10-19 22:32:54.988
368,MAKIM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:41.114,2025-10-19 22:32:56.399
369,MAKTK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:42.751,2025-10-19 22:32:57.719
370,MANAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:44.481,2025-10-19 22:32:59.056
371,MARBL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:46.1,2025-10-19 22:33:00.461
372,MARKA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:47.783,2025-10-19 22:33:01.839
373,MARTI,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:50.313,2025-10-19 22:33:04.562
374,MAVI,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:51.986,2025-10-19 22:33:06.078
375,MEDTR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:53.714,2025-10-19 22:33:07.445
376,MEGAP,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:55.329,2025-10-19 22:33:08.845
377,MEGMT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:56.556,2025-10-19 22:33:10.18
378,MEKAG,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:58.251,2025-10-19 22:33:11.452
379,MEPET,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:00.067,2025-10-19 22:33:12.856
380,MERCN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:01.84,2025-10-19 22:33:14.262
381,MERIT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:03.53,2025-10-19 22:33:15.678
382,MERKO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:05.202,2025-10-19 22:33:17.262
383,METRO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:06.905,2025-10-19 22:33:18.689
384,MGROS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:08.616,2025-10-19 22:33:20.102
385,MHRGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:10.25,2025-10-19 22:33:21.437
386,MIATK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:13.487,2025-10-19 22:33:22.763
387,MMCAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:15.189,2025-10-19 22:33:24.176
388,MNDRS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:16.731,2025-10-19 22:33:25.527
389,MNDTR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:18.394,2025-10-19 22:33:26.989
390,MOBTL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:20.008,2025-10-19 22:33:28.482
391,MOGAN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:21.885,2025-10-19 22:33:29.584
392,MOPAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:23.424,2025-10-19 22:33:30.958
393,MPARK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:25.107,2025-10-19 22:33:33.109
394,MRGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:26.625,2025-10-19 22:33:34.419
395,MRSHL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:28.339,2025-10-19 22:33:35.851
396,MSGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:29.847,2025-10-19 22:33:37.206
397,MTRKS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:31.377,2025-10-19 22:33:38.576
398,MTRYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:32.906,2025-10-19 22:33:40.026
399,MZHLD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:34.556,2025-10-19 22:33:41.445
400,NATEN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:36.104,2025-10-19 22:33:42.814
401,NETAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:37.706,2025-10-19 22:33:44.263
402,NIBAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:39.224,2025-10-19 22:33:45.764
403,NTGAZ,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:40.861,2025-10-19 22:33:47.14
404,NTHOL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:42.356,2025-10-19 22:33:48.514
405,NUGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:44.099,2025-10-19 22:33:49.883
406,NUHCM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:45.672,2025-10-19 22:33:51.338
407,OBAMS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:47.416,2025-10-19 22:33:52.745
408,OBASE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:49.109,2025-10-19 22:33:54.101
409,ODAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:51.043,2025-10-19 22:33:55.433
410,ODINE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:52.722,2025-10-19 22:33:56.78
411,OFSYM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:54.209,2025-10-19 22:33:58.204
412,ONCSM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:55.833,2025-10-19 22:33:59.574
413,ONRYT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:57.431,2025-10-19 22:34:00.98
414,ORCAY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:11:58.954,2025-10-19 22:34:02.44
415,ORGE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:00.738,2025-10-19 22:34:03.82
416,ORMA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:02.435,2025-10-19 22:34:04.831
417,OSMEN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:04.196,2025-10-19 22:34:06.184
418,OSTIM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:05.749,2025-10-19 22:34:07.599
419,OTKAR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:07.473,2025-10-19 22:34:09.081
420,OTTO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:09.164,2025-10-19 22:34:10.589
421,OYAKC,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:10.904,2025-10-19 22:34:11.624
422,OYAYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:12.407,2025-10-19 22:34:13.046
423,OYLUM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:14.046,2025-10-19 22:34:14.506
424,OYYAT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:15.862,2025-10-19 22:34:15.978
425,OZATD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:17.502,2025-10-19 22:34:17.406
426,OZGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:19.015,2025-10-19 22:34:18.742
427,OZKGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:20.628,2025-10-19 22:34:20.231
428,OZRDN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:22.305,2025-10-19 22:34:21.614
429,OZSUB,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:23.953,2025-10-19 22:34:23.086
430,OZYSR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:25.448,2025-10-19 22:34:24.52
431,PAGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:27.075,2025-10-19 22:34:25.956
432,PAMEL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:28.64,2025-10-19 22:34:27.469
433,PAPIL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:30.194,2025-10-19 22:34:28.856
434,PARSN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:31.743,2025-10-19 22:34:30.225
435,PASEU,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:33.436,2025-10-19 22:34:31.689
436,PATEK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:35.003,2025-10-19 22:34:32.746
437,PCILT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:36.735,2025-10-19 22:34:34.142
438,PEKGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:38.227,2025-10-19 22:34:35.468
439,PENGD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:39.719,2025-10-19 22:34:36.834
440,PENTA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:41.348,2025-10-19 22:34:38.328
441,PETKM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:43.077,2025-10-19 22:34:39.408
442,PETUN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:44.618,2025-10-19 22:34:40.834
443,PGSUS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:46.311,2025-10-19 22:34:42.452
444,PINSU,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:47.906,2025-10-19 22:34:43.883
445,PKART,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:49.439,2025-10-19 22:34:45.311
446,PKENT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:50.986,2025-10-19 22:34:46.654
447,PLTUR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:52.488,2025-10-19 22:34:48.034
448,PNLSN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:54.122,2025-10-19 22:34:49.35
449,PNSUT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:55.809,2025-10-19 22:34:50.837
450,POLHO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:57.403,2025-10-19 22:34:52.282
